sub_category_title,questions_title,answer_title,answer_paragraphs,answer_link
Cisco Meeting App,Audio issues,Why can't I choose a speaker from the browsers interface for WebRTC app?,"['This information is applicable to WebRTC app for Cisco Meeting Server version 2.5.1 and later.', 'To ensure reliability, speaker selection via browser was removed from WebRTC app in Cisco Meeting Server version 2.5.1 and later. The speaker selection now has to be changed at the Operating System level from your device instead of in the browser.', 'For example, if you are using a Windows computer, right click on the speaker icon which is on the bottom right corner and selectOpen Sound settings. Select a speaker from theChoose your output devicedrop-down list.', 'If you are using a macOS computer, follow the instructionshere.', 'Note: For more information about the versions, seeImportant information about WebRTC app document.']",https://meeting-infohub.cisco.com/faq/content/27/438/en/why-can_t-i-choose-a-speaker-from-the-browsers-interface-for-webrtc-app.html
Cisco Meeting App,Audio issues,What should I do if a user is receiving corrupt audio?,"['If only one user had the problem', 'If several users have the problem', 'Check that the correct speaker is selected and that the speaker volume is sufficiently high', 'Check the network connection. You can start by asking about the video quality; if the network connection is poor, both audio and video quality will be affected.', ""Change the sending participant's microphone to test whether it is causing the issue"", ""Check that the sending participant's network connection.""]",https://meeting-infohub.cisco.com/faq/content/27/305/en/what-should-i-do-if-a-user-is-receiving-corrupt-audio.html
Cisco Meeting App,Audio issues,The other participants can't hear me. What should I do?,"['Check that you have not muted your microphone, and that no-one else have muted your microphone.', 'For desktop apps', 'WebRTC app', 'Check that your volume is sufficiently high. See alsoMy audio is not loud enough. What can I check?', 'iOS devices', ""Go to your iPhone's or \xa0iPad'sSettings>Meetingand make sure that you enableMicrophonefrom theAllow Meeting to access."", 'If that did not work, there may be an issue with your microphone. In some cases, another app has an error and is not releasing the microphone.', '', 'From the app, clickto openSettingpage. Check that your microphone is selected. Try selecting another microphone from the drop-down list.', 'Check that you have \xa0no other applications running that use the microphone.', 'OpenSettingpage. Check that your microphone is selected.', 'Ensure you have allowed permission for the webpage to use camera and microphone. You can also confirm this in the settings.', 'Check that you have \xa0no other applications running that use the microphone.']",https://meeting-infohub.cisco.com/faq/content/27/301/en/the-other-participants-can_t-hear-me-what-should-i-do.html
Cisco Meeting App,Audio issues,I get an audio playback error. What should I do?,"['When you get an error message that mentions audio playback, it means that there is an issue with your speakers or headphones.', '', 'Check that external devices are plugged in properly.', 'Open the settings page and try different microphones or speakers.', 'For WebRTC app, the speaker selection now has to be changed at the Operating System level instead of in the browser. Try a different speaker.', 'Check your operating sytem or browser settings.']",https://meeting-infohub.cisco.com/faq/content/27/299/en/i-get-an-audio-playback-error-what-should-i-do.html
Cisco Meeting App,Audio issues,Why can the other participants not hear me when my microphone is active?,"['Check if someone has someone else muted your audio in the meeting.', 'All communication between you and other participants is going through a server. If another participant has muted your audio on the server, your audio feed is sent to the server, but it is not sent from the server to other participants.', 'If a participant with the appropriate permissions has muted you or all participants, then they have to unmute you to hear you.', 'If your audio has not been muted, verify the following:', 'Note:Refer to embedded help for instructions to use mute/unmute options on the in-meeting page and also for options on theSettingpage.', '', 'Make sure your microphone is not muted or being used by any other app.', 'From you app, click, to open theSettingpage, check if the correct microphone is being used or try a different one.', 'Make sure all external devices are plugged in properly.']",https://meeting-infohub.cisco.com/faq/content/27/208/en/why-can-the-other-participants-not-hear-me-when-my-microphone-is-active.html
Cisco Meeting App,Audio issues,The WebRTC app introduces echo lasting for many seconds. What should I do?,"['The WebRTC app may introduce acoustic echo. However, the Meeting Server has no control over the Echo cancellation on the WebRTC app: this is a function of the browser.']",https://meeting-infohub.cisco.com/faq/content/27/132/en/the-webrtc-app-introduces-echo-lasting-for-many-seconds-what-should-i-do.html
Cisco Meeting App,Audio issues,Why is the audio not working on my iPhone/iPad?,"['Check if someone has someone else muted your audio in the meeting.All communication between you and other participants is going through a server. If another participant has muted your audio on the server, your audio feed is sent to the server, but it is not sent from the server to other participants.If a participant with the appropriate permissions has muted you or all participants, then they have to unmute you to hear you.Note: Refer to embedded help for instructions to use mute/unmute options on the in-meeting page and also for options on the Setting page.', 'Clickto open Settings page.', ""Use the 'Test Speakers' option to verify if the speaker is working."", 'Check if the volume is sufficiently high.', 'Go to to Settings on your iPhone and under Meeting app\xa0and make sure that that you allow access your microphone.', 'If that did not work, there may be an issue with your microphone. In some cases, another app has an error and is not releasing the microphone.', '']",https://meeting-infohub.cisco.com/faq/content/27/121/en/why-is-the-audio-not-working-on-my-iphone_ipad.html
Cisco Meeting App,Audio issues,Why are my video and audio quality poor using a Cisco Meeting App over SSL VPN?,['Using a Cisco Meeting App on a SSL VPN connection (for example Cisco AnyConnect) can impact call quality if the network is close to full capacity and there is packet loss on the link. Instead we recommend using a dedicated firewall traversal technology optimised for video and audio communications.'],https://meeting-infohub.cisco.com/faq/content/27/11/en/why-are-my-video-and-audio-quality-poor-using-a-cisco-meeting-app-over-ssl-vpn.html
Cisco Meeting App,Audio issues,My audio is not loud enough. What can I check?,"['If you are using a SIP endpoint', 'Check that the issue is not caused by badly positioned microphones causing quiet audio from the SIP endpoint. SIP endpoints are supposed to use gain control to normalize the input volume.', 'If you are using the\xa0Cisco Meeting App for Windows or macOS', 'If you are using WebRTC app', 'WebRTC app uses the speaker selection from the device. You cannot change this from browser from Cisco Meeting Server version 2.5.1 and later.', 'If you are using iOS app', '', 'Click. Use theTest Speakeroptions.', 'Check if the correct speakers are being used or try a different speaker.', 'Try increasing the speaker volume.', 'If using headphones ensure they connected properly or try changing to different ones.', 'Check the browser settings to ensure you allowed permission for the webpage to access microphone and speakers.', 'Click. Use theTest Speakeroptions.', 'On your devices settings, check if the correct speakers are being used or try a different speaker.', 'Try increasing the speaker volume.', 'If using headphones ensure they connected properly or try changing to different ones.', 'Click. Use theTest Speakeroptions.', 'Adjust the volume and try again.', 'Make sure another app is not using the speaker.', 'If you are using headphones ensure they are connected properly or try changing to different ones.']",https://meeting-infohub.cisco.com/faq/content/27/8/en/my-audio-is-not-loud-enough-what-can-i-check.html
Cisco Meeting App,Desktop app (Microsoft Windows and macOS),What do I need to enable before sharing content via Meeting App on macOS 10.15 or later?,"['From macOS version 10.15( Catalina), to share your screen or application from, you need to enable screen sharing permissions from the system settings.', 'If you are using theCisco Meeting App for macOS, to enable sharing, follow these steps:', 'If you are usingCisco Meeting App for WebRTCorCisco Meeting Server web app, to enable sharing on Chrome browsers, follow these steps:', 'From the Apple menu, OpenSystem Preferences>Security>Privacy.', 'Click on thePrivacytab at the top.', 'In the column on the left hand side, scroll down and click onScreen Recording. Selectciscomeeting.', 'RestartMeeting Appfor these changes to take effect.', 'From the Apple menu, OpenSystem Preferences>Security>Privacy.', 'Click on thePrivacytab at the top.', 'In the column on the left hand side, scroll down and click onScreen Recording. SelectChrome.', 'RestartMeeting Appfor these changes to take effect.']",https://meeting-infohub.cisco.com/faq/content/28/479/en/what-do-i-need-to-enable-before-sharing-content-via-meeting-app-on-macos-1015-or-later.html
